uf,name,code,dbpedia,dbpedia_pt,wikidata
AM,Jutaí,1302306,http://dbpedia.org/resource/Jutaí,http://pt.dbpedia.org/resource/Jutaí,http://www.wikidata.org/entity/Q684641
AM,Lábrea,1302405,http://dbpedia.org/resource/Lábrea,http://pt.dbpedia.org/resource/Lábrea,http://www.wikidata.org/entity/Q386631
AM,Manacapuru,1302504,http://dbpedia.org/resource/Manacapuru,http://pt.dbpedia.org/resource/Manacapuru,http://www.wikidata.org/entity/Q983526
AM,Manaquiri,1302553,http://dbpedia.org/resource/Manaquiri,http://pt.dbpedia.org/resource/Manaquiri,http://www.wikidata.org/entity/Q1807976
AM,Manaus,1302603,http://dbpedia.org/resource/Manaus,http://pt.dbpedia.org/resource/Manaus,http://www.wikidata.org/entity/Q40236
AM,Manicoré,1302702,http://dbpedia.org/resource/Manicoré,http://pt.dbpedia.org/resource/Manicoré,http://www.wikidata.org/entity/Q43490
AM,Maraã,1302801,http://dbpedia.org/resource/Maraã,http://pt.dbpedia.org/resource/Maraã,http://www.wikidata.org/entity/Q1763270
AM,Maués,1302900,http://dbpedia.org/resource/Maués,http://pt.dbpedia.org/resource/Maués_(Amazonas),http://www.wikidata.org/entity/Q1808581
AM,Nhamundá,1303007,http://dbpedia.org/resource/Nhamundá,http://pt.dbpedia.org/resource/Nhamundá,http://www.wikidata.org/entity/Q1793306
AM,Nova Olinda do Norte,1303106,http://dbpedia.org/resource/Nova_Olinda_do_Norte,http://pt.dbpedia.org/resource/Nova_Olinda_do_Norte,http://www.wikidata.org/entity/Q1772535
AM,Novo Airão,1303205,http://dbpedia.org/resource/Novo_Airão,http://pt.dbpedia.org/resource/Novo_Airão,http://www.wikidata.org/entity/Q1750332
AM,Novo Aripuanã,1303304,http://dbpedia.org/resource/Novo_Aripuanã,http://pt.dbpedia.org/resource/Novo_Aripuanã,http://www.wikidata.org/entity/Q1793549
AM,Parintins,1303403,http://dbpedia.org/resource/Parintins,http://pt.dbpedia.org/resource/Parintins,http://www.wikidata.org/entity/Q926713
AM,Pauini,1303502,http://dbpedia.org/resource/Pauini,http://pt.dbpedia.org/resource/Pauini,http://www.wikidata.org/entity/Q1793494
AM,Presidente Figueiredo,1303536,http://dbpedia.org/resource/Presidente_Figueiredo,http://pt.dbpedia.org/resource/Presidente_Figueiredo,http://www.wikidata.org/entity/Q655097
AM,Rio Preto da Eva,1303569,http://dbpedia.org/resource/Rio_Preto_da_Eva,http://pt.dbpedia.org/resource/Rio_Preto_da_Eva,http://www.wikidata.org/entity/Q1793560
AM,Santa Isabel do Rio Negro,1303601,http://dbpedia.org/resource/Santa_Isabel_do_Rio_Negro,http://pt.dbpedia.org/resource/Santa_Isabel_do_Rio_Negro,http://www.wikidata.org/entity/Q1754543
AM,Santo Antônio do Içá,1303700,http://dbpedia.org/resource/Santo_Antônio_do_Içá,http://pt.dbpedia.org/resource/Santo_Antônio_do_Içá,http://www.wikidata.org/entity/Q970224
AM,Silves,1304005,"http://dbpedia.org/resource/Silves,_Amazonas",http://pt.dbpedia.org/resource/Silves_(Amazonas),http://www.wikidata.org/entity/Q2089673
AM,São Gabriel da Cachoeira,1303809,http://dbpedia.org/resource/São_Gabriel_da_Cachoeira,http://pt.dbpedia.org/resource/São_Gabriel_da_Cachoeira,http://www.wikidata.org/entity/Q694840
AM,São Paulo de Olivença,1303908,http://dbpedia.org/resource/São_Paulo_de_Olivença,http://pt.dbpedia.org/resource/São_Paulo_de_Olivença,http://www.wikidata.org/entity/Q1794983
AM,São Sebastião do Uatumã,1303957,http://dbpedia.org/resource/São_Sebastião_do_Uatumã,http://pt.dbpedia.org/resource/São_Sebastião_do_Uatumã,http://www.wikidata.org/entity/Q1793440
AM,Tabatinga,1304062,http://dbpedia.org/resource/Tabatinga,http://pt.dbpedia.org/resource/Tabatinga_(Amazonas),http://www.wikidata.org/entity/Q1750030
AM,Tapauá,1304104,http://dbpedia.org/resource/Tapauá,http://pt.dbpedia.org/resource/Tapauá,http://www.wikidata.org/entity/Q1794336
AM,Tefé,1304203,http://dbpedia.org/resource/Tefé,http://pt.dbpedia.org/resource/Tefé,http://www.wikidata.org/entity/Q975545
AM,Tonantins,1304237,http://dbpedia.org/resource/Tonantins,http://pt.dbpedia.org/resource/Tonantins,http://www.wikidata.org/entity/Q1793355
AM,Uarini,1304260,http://dbpedia.org/resource/Uarini,http://pt.dbpedia.org/resource/Uarini,http://www.wikidata.org/entity/Q517607
AM,Urucará,1304302,http://dbpedia.org/resource/Urucará,http://pt.dbpedia.org/resource/Urucará,http://www.wikidata.org/entity/Q1816370
